Retailer,Retailer ID,Date,Month,Region,State,Beverage Brand,Price per Unit,Units Sold
Sodapop,1185732,2022-01-14,1900-01-01,Northeast,New York,Coca-Cola,0.5,12000
Sodapop,1185732,2022-01-14,1900-01-01,Northeast,New York,Diet Coke,0.5,10000
Sodapop,1185732,2022-01-14,1900-01-01,Northeast,New York,Sprite,0.4,10000
Sodapop,1185732,2022-01-14,1900-01-01,Northeast,New York,Fanta,0.45,8500
Sodapop,1185732,2022-01-14,1900-01-01,Northeast,New York,Powerade,0.6,9000
Sodapop,1185732,2022-01-14,1900-01-01,Northeast,New York,Dasani Water,0.5,10000
Sodapop,1185732,2022-02-12,1900-01-02,Northeast,New York,Coca-Cola,0.5,12500
Sodapop,1185732,2022-02-12,1900-01-02,Northeast,New York,Diet Coke,0.5,9000
Sodapop,1185732,2022-02-12,1900-01-02,Northeast,New York,Sprite,0.4,9500
Sodapop,1185732,2022-02-12,1900-01-02,Northeast,New York,Fanta,0.45,8250
Sodapop,1185732,2022-02-12,1900-01-02,Northeast,New York,Powerade,0.6,9000
Sodapop,1185732,2022-02-12,1900-01-02,Northeast,New York,Dasani Water,0.5,10000
Sodapop,1185732,2022-03-10,1900-01-03,Northeast,New York,Coca-Cola,0.5,12200
Sodapop,1185732,2022-03-10,1900-01-03,Northeast,New York,Diet Coke,0.5,9250
Sodapop,1185732,2022-03-10,1900-01-03,Northeast,New York,Sprite,0.4,9500
Sodapop,1185732,2022-03-10,1900-01-03,Northeast,New York,Fanta,0.45,8000
Sodapop,1185732,2022-03-10,1900-01-03,Northeast,New York,Powerade,0.6,8500
Sodapop,1185732,2022-03-10,1900-01-03,Northeast,New York,Dasani Water,0.5,9500
Sodapop,1185732,2022-04-11,1900-01-04,Northeast,New York,Coca-Cola,0.5,12000
Sodapop,1185732,2022-04-11,1900-01-04,Northeast,New York,Diet Coke,0.5,9000
Sodapop,1185732,2022-04-11,1900-01-04,Northeast,New York,Sprite,0.4,9000
Sodapop,1185732,2022-04-11,1900-01-04,Northeast,New York,Fanta,0.45,8250
Sodapop,1185732,2022-04-11,1900-01-04,Northeast,New York,Powerade,0.6,8250
Sodapop,1185732,2022-04-11,1900-01-04,Northeast,New York,Dasani Water,0.5,9500
Sodapop,1185732,2022-05-10,1900-01-05,Northeast,New York,Coca-Cola,0.6,12200
Sodapop,1185732,2022-05-10,1900-01-05,Northeast,New York,Diet Coke,0.55,9250
Sodapop,1185732,2022-05-10,1900-01-05,Northeast,New York,Sprite,0.5,9000
Sodapop,1185732,2022-05-10,1900-01-05,Northeast,New York,Fanta,0.5,8500
Sodapop,1185732,2022-05-10,1900-01-05,Northeast,New York,Powerade,0.6,8750
Sodapop,1185732,2022-05-10,1900-01-05,Northeast,New York,Dasani Water,0.65,10000
Sodapop,1185732,2022-06-12,1900-01-06,Northeast,New York,Coca-Cola,0.6,12500
Sodapop,1185732,2022-06-12,1900-01-06,Northeast,New York,Diet Coke,0.55,10000
Sodapop,1185732,2022-06-12,1900-01-06,Northeast,New York,Sprite,0.5,9250
Sodapop,1185732,2022-06-12,1900-01-06,Northeast,New York,Fanta,0.5,9000
Sodapop,1185732,2022-06-12,1900-01-06,Northeast,New York,Powerade,0.6,9000
Sodapop,1185732,2022-06-12,1900-01-06,Northeast,New York,Dasani Water,0.65,10500
Sodapop,1185732,2022-07-10,1900-01-07,Northeast,New York,Coca-Cola,0.6,12750
Sodapop,1185732,2022-07-10,1900-01-07,Northeast,New York,Diet Coke,0.55,10250
Sodapop,1185732,2022-07-10,1900-01-07,Northeast,New York,Sprite,0.5,9500
Sodapop,1185732,2022-07-10,1900-01-07,Northeast,New York,Fanta,0.5,9000
Sodapop,1185732,2022-07-10,1900-01-07,Northeast,New York,Powerade,0.6,9250
Sodapop,1185732,2022-07-10,1900-01-07,Northeast,New York,Dasani Water,0.65,11000
Sodapop,1185732,2022-08-11,1900-01-08,Northeast,New York,Coca-Cola,0.6,12500
Sodapop,1185732,2022-08-11,1900-01-08,Northeast,New York,Diet Coke,0.55,10250
Sodapop,1185732,2022-08-11,1900-01-08,Northeast,New York,Sprite,0.5,9500
Sodapop,1185732,2022-08-11,1900-01-08,Northeast,New York,Fanta,0.5,9250
Sodapop,1185732,2022-08-11,1900-01-08,Northeast,New York,Powerade,0.6,9000
Sodapop,1185732,2022-08-11,1900-01-08,Northeast,New York,Dasani Water,0.65,10750
Sodapop,1185732,2022-09-10,1900-01-09,Northeast,New York,Coca-Cola,0.6,12000
Sodapop,1185732,2022-09-10,1900-01-09,Northeast,New York,Diet Coke,0.55,10000
Sodapop,1185732,2022-09-10,1900-01-09,Northeast,New York,Sprite,0.5,9250
Sodapop,1185732,2022-09-10,1900-01-09,Northeast,New York,Fanta,0.5,9000
Sodapop,1185732,2022-09-10,1900-01-09,Northeast,New York,Powerade,0.6,9000
Sodapop,1185732,2022-09-10,1900-01-09,Northeast,New York,Dasani Water,0.65,10000
Sodapop,1185732,2022-10-12,1900-01-10,Northeast,New York,Coca-Cola,0.65,11750
Sodapop,1185732,2022-10-12,1900-01-10,Northeast,New York,Diet Coke,0.55,10000
Sodapop,1185732,2022-10-12,1900-01-10,Northeast,New York,Sprite,0.55,9000
Sodapop,1185732,2022-10-12,1900-01-10,Northeast,New York,Fanta,0.55,8750
